1:8,3,4,6,8,1,6,1,9,6,7,8,3,7,7,4,5,2,3,5,4,1,9,8,2,5,6,4,6,1
2:2,5,2,6,9,3,6,7,3,4,4,3,9,7,9,3,9,7,1,8,6,5,6,1,9,4,2,2,9,5
3:4,9,8,6,9,5,5,2,4,3,5,2,2,5,3,3,7,5,5,7,8,4,7,2,4,1,6,1,1,9
4:2,7,4,3,5,3,2,6,9,5,1,6,3,4,1,2,6,3,9,7,9,5,9,1,8,2,9,9,7,2
5:8,8,7,5,7,4,9,7,2,4,1,7,1,4,9,8,5,9,4,3,8,9,2,9,5,6,5,9,8,5
6:2,5,1,3,1,7,3,7,5,3,9,7,4,1,2,1,6,2,3,1,2,8,8,1,5,9,8,9,3,6
7:5,3,3,9,9,8,9,2,6,9,2,5,4,3,8,4,6,3,4,1,5,6,5,8,3,2,7,5,4,1
8:3,3,9,1,5,8,1,5,7,1,4,4,8,8,3,5,3,3,2,4,8,4,9,6,4,4,3,2,1,7
9:8,8,7,8,4,7,9,2,2,7,4,7,5,6,4,1,4,9,3,4,3,2,8,8,5,1,6,9,4,7
10:2,2,7,4,9,5,6,6,1,6,7,2,3,4,1,9,9,7,8,9,2,6,1,5,9,8,6,8,4,4
11:8,6,2,5,7,8,4,7,3,4,3,1,9,7,6,1,6,5,3,2,7,7,2,6,5,9,3,6,2,1
12:1,2,1,8,1,4,5,2,1,5,1,9,2,4,8,3,8,6,4,1,1,8,8,4,7,1,8,2,7,6
13:2,6,2,3,3,3,9,9,7,9,2,6,9,9,2,2,9,6,7,3,3,1,3,3,3,8,6,8,1,7
14:9,1,1,1,4,9,6,8,2,8,2,9,4,9,4,5,8,4,5,6,5,3,4,2,6,8,3,1,6,2
15:3,1,8,2,7,8,5,1,7,9,5,5,6,8,9,7,4,5,1,2,8,8,3,5,1,6,5,4,5,4
16:7,9,2,8,2,4,2,3,3,4,9,6,7,8,6,5,4,7,8,2,9,7,7,2,6,8,5,1,7,2
17:4,2,7,7,4,4,1,1,9,2,1,5,6,6,9,7,5,6,1,3,4,2,7,8,6,5,2,4,3,9
18:3,2,4,2,2,1,2,2,7,9,2,5,9,6,8,8,8,1,7,3,7,7,1,7,9,5,6,7,8,3
19:7,9,2,5,4,8,2,1,7,3,6,4,8,2,3,9,9,7,7,6,4,5,4,4,6,7,7,9,5,4
20:4,5,8,6,9,8,8,6,6,4,7,3,8,1,9,1,1,3,1,9,5,5,6,5,1,9,4,5,6,4
21:3,1,4,3,2,5,9,7,2,6,3,9,6,9,8,6,8,1,6,2,7,4,4,2,9,3,3,5,6,3
22:8,7,3,1,8,3,3,7,9,5,6,4,3,9,4,9,4,1,8,8,4,2,3,5,9,7,1,4,6,7
23:5,4,7,2,5,6,7,5,9,4,9,3,3,3,8,1,9,8,9,7,4,8,4,6,2,9,2,1,2,1
24:1,9,3,3,7,9,9,5,9,4,8,7,3,2,7,8,8,6,9,1,3,2,9,2,8,7,1,9,7,5
25:4,1,5,6,5,3,1,4,2,9,1,5,6,4,8,7,8,6,9,4,1,5,1,3,1,7,6,3,9,2
26:9,5,9,2,3,9,7,5,8,3,2,3,6,1,4,7,1,5,8,5,8,6,2,3,4,9,9,6,3,1
27:7,4,5,5,8,3,3,8,7,8,2,5,6,2,6,3,5,2,1,4,6,1,2,4,8,3,7,7,3,9
28:1,5,3,9,7,2,6,5,5,2,4,4,4,7,3,4,5,9,5,5,2,2,9,3,9,6,1,4,5,2
29:7,6,5,5,1,3,2,4,4,1,4,6,8,4,3,3,9,9,7,5,8,3,9,5,9,7,4,4,2,2
30:8,4,2,1,7,8,2,3,5,6,8,2,4,7,9,6,2,2,4,3,9,9,3,7,1,2,3,4,5,4
31:5,9,6,8,8,2,3,9,3,1,8,9,1,5,9,5,6,1,4,5,2,4,2,3,6,3,1,5,2,6
32:9,8,7,4,9,9,9,2,5,5,2,4,5,7,4,4,1,2,5,7,9,8,5,3,7,4,6,7,8,9
33:6,8,8,7,9,5,1,1,5,6,2,2,9,3,9,5,5,6,4,3,1,8,3,7,5,9,5,8,9,7
34:1,1,4,2,7,3,2,1,2,9,8,1,9,8,2,9,1,7,4,1,9,3,8,6,9,6,9,5,8,9
35:2,6,6,7,1,3,8,6,5,2,3,3,8,8,3,1,4,5,2,6,8,1,9,1,6,7,1,1,5,9
36:1,3,4,5,3,4,3,9,4,2,6,7,3,1,8,7,9,3,3,7,1,8,4,3,9,5,2,5,3,6
37:8,2,7,2,2,2,3,4,8,8,6,4,4,4,3,3,4,9,5,1,9,2,2,3,9,4,8,8,9,7
38:5,1,1,3,9,1,1,8,7,1,4,2,4,6,3,6,1,2,2,5,6,5,8,9,3,3,7,9,7,3
39:3,3,9,2,4,4,9,4,2,6,7,3,1,6,4,5,4,5,2,3,6,1,8,4,7,3,7,3,9,4
40:4,1,2,9,7,6,7,4,3,8,3,6,9,3,2,4,2,7,6,3,7,2,5,3,7,6,8,7,3,4
41:8,7,9,2,8,2,8,7,5,2,9,4,7,8,6,9,4,1,7,5,4,4,9,7,5,3,8,1,5,5
42:7,7,6,1,5,9,2,6,8,1,4,2,8,5,3,8,2,3,5,2,9,7,8,5,1,5,8,2,3,9
43:1,8,9,4,1,7,6,3,8,6,5,5,4,9,3,9,3,8,3,2,8,2,4,8,4,6,5,5,5,4
44:8,1,9,1,1,7,2,5,1,8,8,4,5,7,2,2,9,2,5,9,6,3,1,2,5,6,7,2,2,8
45:2,2,6,8,2,2,2,3,1,4,2,4,9,2,3,8,9,3,2,6,3,4,5,6,6,3,1,4,2,2
46:8,8,6,9,3,9,8,7,2,5,2,5,7,3,1,6,6,2,2,7,2,8,3,5,9,1,4,2,5,3
47:6,7,9,4,2,7,6,6,1,8,6,7,1,8,7,7,2,1,7,1,6,9,3,4,2,3,6,3,7,6
48:2,3,6,1,7,2,1,8,2,7,9,8,9,4,5,1,5,1,7,5,3,1,4,2,7,9,4,9,1,8
49:5,3,3,6,2,8,1,9,5,2,1,4,3,6,6,9,8,3,1,2,7,6,7,6,8,2,5,7,6,6
50:2,8,7,1,3,4,4,2,4,6,6,4,9,8,2,9,8,1,8,1,6,6,5,3,6,7,7,6,6,9
51:4,7,6,4,6,2,5,7,2,8,7,8,3,4,6,2,4,8,3,8,2,6,9,9,1,7,8,6,2,6
52:5,5,5,7,7,3,8,9,5,9,9,6,4,4,7,7,5,8,6,7,2,8,6,8,3,3,3,2,3,5
53:7,5,8,2,5,7,7,3,9,5,9,4,7,7,3,2,3,2,8,9,5,7,6,5,3,1,7,3,1,3
54:2,1,8,1,3,4,3,5,4,3,8,9,3,6,3,2,1,7,9,6,7,1,7,6,7,1,6,4,8,3
55:1,1,8,3,7,5,9,2,2,9,6,3,6,6,6,7,2,5,5,5,4,7,5,6,2,5,6,2,4,8
56:2,2,3,6,4,8,4,9,5,1,7,4,1,9,3,8,4,2,3,3,8,7,2,5,4,4,6,3,6,3
57:8,3,2,2,6,7,8,7,4,9,4,6,7,6,1,6,2,5,5,7,2,9,5,6,3,2,5,8,3,1
58:6,2,8,2,7,6,2,7,8,4,3,9,8,2,5,1,6,9,9,2,2,7,3,9,8,2,8,8,7,5
59:6,9,2,2,5,7,3,1,3,4,3,2,4,7,4,3,6,3,1,3,2,5,9,7,2,8,8,3,3,5
60:2,8,5,6,9,4,3,2,1,2,7,8,1,2,7,4,8,1,8,5,4,2,9,8,5,3,6,9,3,4
61:8,2,8,9,9,2,5,7,6,2,3,1,7,2,4,8,1,1,1,8,9,8,8,8,7,1,2,6,9,2
62:3,7,5,7,9,8,5,3,2,8,4,9,6,2,8,3,8,4,9,7,6,2,9,5,3,9,5,6,9,9
63:6,6,5,8,9,4,4,1,2,8,1,5,9,5,3,3,9,8,7,6,5,1,7,4,6,1,5,5,9,2
64:8,3,7,6,3,4,8,5,1,3,9,5,9,6,5,9,9,2,1,5,7,5,8,3,5,3,2,7,4,7
65:1,8,6,4,8,2,3,9,8,5,9,4,4,7,2,6,2,2,9,4,4,2,1,8,5,5,1,3,7,1
66:8,5,8,3,5,8,2,7,5,1,6,1,6,1,2,9,2,7,3,7,6,6,1,5,6,3,5,2,7,6
67:8,5,1,1,2,8,6,6,9,4,4,9,6,7,6,2,5,6,1,2,2,1,9,3,3,1,8,9,3,9
68:8,4,9,5,4,6,1,7,6,8,5,2,7,3,3,5,9,2,3,7,4,7,5,3,6,4,9,8,2,7
69:9,7,7,1,1,7,2,4,4,8,1,1,3,7,1,4,7,8,4,3,7,6,1,7,2,1,3,4,7,2
70:4,3,8,5,7,1,1,5,4,3,4,9,2,8,4,8,6,5,9,5,9,6,4,4,7,5,7,7,6,7
71:6,6,1,4,3,7,1,1,9,8,7,4,5,6,9,3,9,6,3,5,8,2,7,2,1,1,5,3,6,8
72:1,6,5,8,5,9,1,3,2,5,8,1,7,8,9,6,1,5,8,4,6,1,4,9,9,4,8,9,1,4
73:3,7,8,5,4,2,6,9,4,4,1,6,5,9,6,4,6,6,1,8,2,1,2,7,3,2,5,8,7,6
74:8,1,2,6,2,3,5,8,9,8,2,1,3,2,2,2,4,9,1,6,3,2,1,2,4,6,5,7,9,7
75:8,9,9,6,5,8,7,3,7,8,2,9,1,1,7,2,9,4,4,7,3,9,9,3,5,6,3,9,6,8
76:9,9,4,8,5,6,3,6,2,2,8,4,4,8,4,9,2,2,4,9,7,6,2,9,8,4,8,4,7,9
77:4,3,5,7,1,8,8,5,1,2,2,6,7,3,1,2,9,9,9,5,9,1,7,6,4,3,8,5,3,3
78:3,1,7,2,9,6,7,2,3,4,7,4,1,9,9,6,1,6,8,4,6,1,4,3,3,3,3,5,1,6
79:3,6,1,6,1,3,5,9,5,4,8,8,4,8,4,4,1,3,9,1,9,7,3,3,9,1,9,2,7,6
80:6,5,4,1,7,6,7,3,6,4,9,6,7,3,8,2,8,8,2,7,4,6,9,4,9,2,4,7,7,6
81:8,3,4,5,3,3,3,5,6,9,8,9,5,8,5,4,7,3,8,8,3,8,9,3,5,8,1,1,8,2
82:1,3,9,8,4,2,2,4,2,6,4,8,6,8,6,5,8,2,6,7,2,8,8,8,2,4,7,1,4,8
83:7,3,6,5,3,7,3,3,5,8,6,6,4,3,8,9,6,4,2,3,9,4,4,2,2,7,7,4,4,2
84:8,4,3,4,4,8,7,7,3,1,7,8,6,3,9,5,3,5,1,2,2,5,5,4,1,9,9,4,6,6
85:7,1,6,3,8,7,5,7,6,6,9,9,6,1,9,2,5,5,3,1,1,3,2,6,8,3,1,8,7,7
86:5,2,6,6,4,2,7,9,9,5,5,6,3,6,7,2,9,2,9,7,4,6,6,8,1,9,3,4,3,9
87:1,6,4,3,7,3,4,9,4,8,5,6,7,9,2,3,3,5,1,7,3,1,4,4,4,8,9,2,1,4
88:1,6,5,2,4,7,3,7,6,1,9,6,9,7,4,1,8,4,6,1,3,3,4,8,3,2,1,6,9,4
89:7,7,2,1,5,3,6,4,8,8,8,1,6,1,5,9,6,9,4,9,2,9,1,3,8,1,9,2,2,4
90:7,9,1,8,8,8,6,8,5,1,5,2,8,8,4,2,2,8,7,9,5,1,5,8,2,2,3,1,8,2
91:8,5,6,1,6,7,5,4,1,7,9,2,3,2,1,4,7,9,4,2,9,5,6,4,2,2,7,2,7,6
92:2,1,8,6,7,6,6,6,8,3,4,2,4,3,5,9,1,1,4,9,3,4,7,6,8,8,2,7,5,6
93:3,1,7,6,6,2,5,1,5,6,8,3,3,2,7,3,9,8,5,1,5,4,6,3,6,4,7,9,2,7
94:6,2,2,9,2,2,7,6,5,8,6,2,9,1,9,7,6,8,3,8,7,5,9,2,6,4,6,8,6,5
95:2,5,1,9,7,9,7,6,6,5,7,3,2,6,1,2,9,8,6,4,5,6,1,7,1,7,8,7,5,3
